,d2o 166 By Administrator Date Wednesday. December 15 2021,
Time,16:38:58,
Wavenumbers [1/cm],Transmittance %,
5929.000,2.27715,
5928.000,2.28035,
5927.000,2.28523,
5926.000,2.29025,
5925.000,2.29326,
5924.000,2.29465,
5923.000,2.29717,
5922.000,2.30268,
5921.000,2.31055,
5920.000,2.31934,
5919.000,2.32884,
5918.000,2.33917,
5917.000,2.34924,
5916.000,2.35758,
5915.000,2.36434,
5914.000,2.37108,
5913.000,2.37866,
5912.000,2.38655,
5911.000,2.39416,
5910.000,2.4019,
5909.000,2.41039,
5908.000,2.41958,
5907.000,2.429,
5906.000,2.43844,
5905.000,2.44795,
5904.000,2.45744,
5903.000,2.46656,
5902.000,2.47481,
5901.000,2.4819,
5900.000,2.48838,
5899.000,2.49576,
5898.000,2.50538,
5897.000,2.51694,
5896.000,2.52856,
5895.000,2.53854,
5894.000,2.54663,
5893.000,2.55373,
5892.000,2.56086,
5891.000,2.56893,
5890.000,2.57906,
5889.000,2.59225,
5888.000,2.60842,
5887.000,2.62578,
5886.000,2.64159,
5885.000,2.65402,
5884.000,2.6633,
5883.000,2.6711,
5882.000,2.67856,
5881.000,2.6858,
5880.000,2.69326,
5879.000,2.70269,
5878.000,2.71554,
5877.000,2.73077,
5876.000,2.74556,
5875.000,2.75861,
5874.000,2.77152,
5873.000,2.78633,
5872.000,2.80266,
5871.000,2.81845,
5870.000,2.83258,
5869.000,2.84564,
5868.000,2.85821,
5867.000,2.86992,
5866.000,2.88095,
5865.000,2.89296,
5864.000,2.90747,
5863.000,2.9236,
5862.000,2.93877,
5861.000,2.95156,
5860.000,2.96315,
5859.000,2.97578,
5858.000,2.99058,
5857.000,3.00733,
5856.000,3.02529,
5855.000,3.04373,
5854.000,3.06183,
5853.000,3.07908,
5852.000,3.09556,
5851.000,3.11197,
5850.000,3.12911,
5849.000,3.1476,
5848.000,3.16731,
5847.000,3.18695,
5846.000,3.20466,
5845.000,3.21994,
5844.000,3.23449,
5843.000,3.2506,
5842.000,3.26868,
5841.000,3.28744,
5840.000,3.30599,
5839.000,3.32464,
5838.000,3.34351,
5837.000,3.36195,
5836.000,3.38,
5835.000,3.39912,
5834.000,3.42025,
5833.000,3.44202,
5832.000,3.46238,
5831.000,3.4813,
5830.000,3.50031,
5829.000,3.51966,
5828.000,3.53755,
5827.000,3.5528,
5826.000,3.56669,
5825.000,3.58147,
5824.000,3.5985,
5823.000,3.61858,
5822.000,3.64282,
5821.000,3.6712,
5820.000,3.70089,
5819.000,3.72787,
5818.000,3.75032,
5817.000,3.76983,
5816.000,3.78893,
5815.000,3.8088,
5814.000,3.82968,
5813.000,3.85201,
5812.000,3.87623,
5811.000,3.90216,
5810.000,3.92936,
5809.000,3.95745,
5808.000,3.98556,
5807.000,4.01222,
5806.000,4.03662,
5805.000,4.0597,
5804.000,4.08312,
5803.000,4.1076,
5802.000,4.13299,
5801.000,4.15953,
5800.000,4.18769,
5799.000,4.217,
5798.000,4.24597,
5797.000,4.27372,
5796.000,4.3009,
5795.000,4.32869,
5794.000,4.35737,
5793.000,4.38637,
5792.000,4.41533,
5791.000,4.44466,
5790.000,4.4749,
5789.000,4.50577,
5788.000,4.53615,
5787.000,4.5653,
5786.000,4.59403,
5785.000,4.62383,
5784.000,4.65495,
5783.000,4.68619,
5782.000,4.717,
5781.000,4.74856,
5780.000,4.78195,
5779.000,4.81636,
5778.000,4.85035,
5777.000,4.88415,
5776.000,4.91908,
5775.000,4.95521,
5774.000,4.99138,
5773.000,5.02731,
5772.000,5.06398,
5771.000,5.10174,
5770.000,5.13967,
5769.000,5.1773,
5768.000,5.21537,
5767.000,5.25442,
5766.000,5.29372,
5765.000,5.33239,
5764.000,5.37023,
5763.000,5.40712,
5762.000,5.44308,
5761.000,5.47938,
5760.000,5.51812,
5759.000,5.55985,
5758.000,5.60281,
5757.000,5.64525,
