;cavity_after;
Wavenumbers [1/cm];Transmittance;
5716,752;0,05306202;
5714,824;0,05345065;
5712,895;0,05390011;
5710,966;0,054329;
5709,037;0,05466237;
5707,109;0,05506659;
5705,180;0,0556355;
5703,251;0,05627468;
5701,323;0,0568995;
5699,394;0,05742418;
5697,465;0,05785023;
5695,536;0,05826823;
5693,608;0,05872162;
5691,679;0,05920067;
5689,750;0,05973652;
5687,821;0,06039204;
5685,893;0,06108506;
5683,964;0,06168846;
5682,035;0,06228402;
5680,107;0,06296903;
5678,178;0,06362131;
5676,249;0,06420568;
5674,320;0,06488197;
5672,392;0,06563485;
5670,463;0,06635585;
5668,534;0,06712048;
5666,605;0,06804379;
5664,677;0,06904604;
5662,748;0,06993761;
5660,819;0,07070126;
5658,891;0,07145217;
5656,962;0,07223534;
5655,033;0,07303606;
5653,104;0,07393575;
5651,176;0,07503665;
5649,247;0,07620271;
5647,318;0,07727422;
5645,389;0,07828997;
5643,461;0,0792842;
5641,532;0,08026463;
5639,603;0,08127482;
5637,675;0,08233799;
5635,746;0,08352022;
5633,817;0,08484484;
5631,888;0,08614992;
5629,960;0,08735953;
5628,031;0,08858238;
5626,102;0,08987002;
5624,173;0,09122153;
5622,245;0,0926346;
5620,316;0,09408634;
5618,387;0,09555624;
5616,459;0,0970524;
5614,530;0,09858171;
5612,601;0,1000812;
5610,672;0,1015109;
5608,744;0,102992;
5606,815;0,1046997;
5604,886;0,106538;
5602,957;0,1082721;
5601,029;0,1099977;
5599,100;0,1118292;
5597,171;0,1136303;
5595,242;0,1154266;
5593,314;0,1173408;
5591,385;0,1192984;
5589,456;0,1211812;
5587,528;0,1230187;
5585,599;0,1249308;
5583,670;0,1269125;
5581,741;0,128921;
5579,813;0,1310032;
5577,884;0,1330968;
5575,955;0,1351403;
5574,026;0,1372078;
5572,098;0,1393498;
5570,169;0,1415292;
5568,240;0,1436769;
5566,312;0,1458386;
5564,383;0,148023;
5562,454;0,150123;
5560,525;0,1522094;
5558,597;0,1544024;
5556,668;0,1566532;
5554,739;0,1588605;
5552,810;0,1609572;
5550,882;0,1629663;
5548,953;0,1650063;
5547,024;0,1671419;
5545,096;0,1692835;
5543,167;0,1713316;
5541,238;0,1732505;
5539,309;0,1750274;
5537,381;0,1767754;
5535,452;0,1785979;
5533,523;0,1803792;
5531,594;0,1820284;
5529,666;0,1836091;
5527,737;0,185147;
5525,808;0,186568;
5523,880;0,1877827;
5521,951;0,1888899;
5520,022;0,1900751;
5518,093;0,1912521;
5516,165;0,1922612;
5514,236;0,1931718;
5512,307;0,1940325;
5510,378;0,1947044;
5508,450;0,1951736;
5506,521;0,1956161;
5504,592;0,1960519;
5502,663;0,1963643;
5500,735;0,1965262;
5498,806;0,1965696;
5496,877;0,1964852;
5494,949;0,1962537;
5493,020;0,1959135;
5491,091;0,1954428;
5489,162;0,1947681;
5487,234;0,1939696;
5485,305;0,1931608;
5483,376;0,1923289;
5481,447;0,1914035;
5479,519;0,1902657;
5477,590;0,1889222;
5475,661;0,1875905;
5473,733;0,1863124;
5471,804;0,1849638;
5469,875;0,1835421;
5467,946;0,181966;
5466,018;0,180092;
5464,089;0,1780288;
5462,160;0,1760085;
5460,231;0,1741049;
5458,303;0,1721945;
5456,374;0,1701879;
5454,445;0,1681739;
5452,517;0,1661366;
5450,588;0,1639859;
5448,659;0,1618112;
5446,730;0,1596102;
5444,802;0,1573162;
5442,873;0,155031;
5440,944;0,152805;
5439,015;0,1505904;
5437,087;0,1483037;
5435,158;0,1459167;
5433,229;0,1435491;
5431,301;0,1412303;
5429,372;0,1389345;
5427,443;0,1367387;
5425,514;0,1346058;
5423,586;0,1324019;
5421,657;0,1301506;
5419,728;0,1279898;
5417,799;0,125887;
5415,871;0,123667;
5413,942;0,1213946;
5412,013;0,1192609;
5410,085;0,11721;
5408,156;0,1151596;
5406,227;0,1131833;
5404,298;0,1112926;
5402,370;0,1094003;
5400,441;0,1074418;
5398,512;0,1054392;
5396,583;0,103511;
5394,655;0,1017455;
5392,726;0,1000779;
5390,797;0,09841821;
5388,868;0,09676488;
5386,940;0,09511191;
5385,011;0,09345627;
5383,082;0,09183406;
5381,154;0,0902439;
5379,225;0,08865044;
5377,296;0,08708736;
5375,367;0,08565398;
5373,439;0,08433105;
5371,510;0,08301034;
5369,581;0,08169897;
5367,652;0,08039301;
5365,724;0,0790107;
5363,795;0,07764525;
5361,866;0,07643268;
5359,938;0,07526521;
5358,009;0,07405683;
5356,080;0,07288004;
5354,151;0,07174631;
5352,223;0,07067895;
5350,294;0,06973567;
5348,365;0,0688108;
5346,436;0,06775589;
5344,508;0,06664188;
5342,579;0,06561358;
5340,650;0,06466133;
5338,722;0,06379452;
5336,793;0,0630508;
5334,864;0,06230534;
5332,935;0,0614557;
5331,007;0,06058118;
5329,078;0,05977839;
5327,149;0,05901645;
5325,220;0,05823942;
5323,292;0,05751082;
5321,363;0,05687709;
5319,434;0,05625197;
5317,506;0,05557501;
5315,577;0,05488637;
5313,648;0,05423014;
5311,719;0,05359919;
5309,791;0,05294841;
5307,862;0,05228193;
5305,933;0,05168425;
5304,004;0,05118057;
5302,076;0,05067689;
5300,147;0,05010708;
5298,218;0,04953103;
5296,290;0,04902024;
5294,361;0,04856544;
5292,432;0,04814602;
5290,503;0,04778137;
5288,575;0,04744985;
5286,646;0,04703631;
5284,717;0,04652492;
5282,788;0,04604191;
5280,860;0,04562762;
5278,931;0,0452511;
5277,002;0,04490988;
5275,073;0,04458697;
5273,145;0,04425368;
5271,216;0,0439284;
5269,287;0,04366082;
5267,359;0,0433898;
