,cavity_after,
Wavenumbers [1/cm],Transmittance,
5892.267,0.0785354,
5890.338,0.07969102,
5888.409,0.08101696,
5886.481,0.08256104,
5884.552,0.08412264,
5882.623,0.08561976,
5880.694,0.08708102,
5878.766,0.08857495,
5876.837,0.09022009,
5874.908,0.0920136,
5872.979,0.09381036,
5871.051,0.09555584,
5869.122,0.09741379,
5867.193,0.09946027,
5865.265,0.1014546,
5863.336,0.1032893,
5861.407,0.1052016,
5859.478,0.1073765,
5857.550,0.1097396,
5855.621,0.1120777,
5853.692,0.1143193,
5851.763,0.1166095,
5849.835,0.1190386,
5847.906,0.1215365,
5845.977,0.1240245,
5844.049,0.1265007,
5842.120,0.1289834,
5840.191,0.1314558,
5838.262,0.1339492,
5836.334,0.1365711,
5834.405,0.1392644,
5832.476,0.1418854,
5830.547,0.1444779,
5828.619,0.1470513,
5826.690,0.1495349,
5824.761,0.1520064,
5822.832,0.1545285,
5820.904,0.1569869,
5818.975,0.1593659,
5817.046,0.161859,
5815.118,0.164464,
5813.189,0.1669341,
5811.260,0.1691814,
5809.331,0.1712628,
5807.403,0.1731823,
5805.474,0.1750264,
5803.545,0.1769097,
5801.616,0.1787015,
5799.688,0.1803085,
5797.759,0.1818494,
5795.830,0.1832881,
5793.902,0.1844714,
5791.973,0.1854357,
5790.044,0.1863296,
5788.115,0.1871051,
5786.187,0.1876125,
5784.258,0.1879404,
5782.329,0.1882199,
5780.400,0.1883978,
5778.472,0.1884031,
5776.543,0.1881932,
5774.614,0.1877598,
5772.686,0.1871713,
5770.757,0.1863901,
5768.828,0.1853316,
5766.899,0.1841515,
5764.971,0.1830109,
5763.042,0.1817954,
5761.113,0.1803864,
5759.184,0.1788219,
5757.256,0.1771158,
5755.327,0.1753221,
5753.398,0.1735543,
5751.470,0.1717659,
5749.541,0.1698701,
5747.612,0.1678413,
5745.683,0.1656333,
5743.755,0.1633011,
5741.826,0.1610016,
5739.897,0.1587835,
5737.968,0.1565592,
5736.040,0.1542942,
5734.111,0.1520102,
5732.182,0.1497311,
5730.254,0.1475276,
5728.325,0.1453419,
5726.396,0.1429972,
5724.467,0.1405479,
5722.539,0.1382157,
5720.610,0.1359549,
5718.681,0.1335897,
5716.752,0.1312328,
5714.824,0.1290476,
5712.895,0.1269507,
5710.966,0.1247669,
5709.037,0.1224567,
5707.109,0.1201944,
5705.180,0.1181451,
5703.251,0.1161345,
5701.323,0.1138886,
5699.394,0.1115331,
5697.465,0.1093033,
5695.536,0.107203,
5693.608,0.1052457,
5691.679,0.1033962,
5689.750,0.1015158,
5687.821,0.09958819,
5685.893,0.0976806,
5683.964,0.09584168,
5682.035,0.09407902,
5680.107,0.09232315,
5678.178,0.09049863,
5676.249,0.08867479,
5674.320,0.08699995,
5672.392,0.08546358,
5670.463,0.08399939,
5668.534,0.0825977,
5666.605,0.08111814,
5664.677,0.07948722,
5662.748,0.07790847,
5660.819,0.0765296,
5658.891,0.07529467,
5656.962,0.07409559,
5655.033,0.0728534,
5653.104,0.07157225,
5651.176,0.07027514,
5649.247,0.06898249,
5647.318,0.0677933,
5645.389,0.06672506,
5643.461,0.06570106,
5641.532,0.06472024,
5639.603,0.06372991,
5637.675,0.06269339,
5635.746,0.06171002,
5633.817,0.06082197,
5631.888,0.06000638,
5629.960,0.05927391,
5628.031,0.05859954,
5626.102,0.05784818,
5624.173,0.05697838,
5622.245,0.05611334,
5620.316,0.05531543,
5618.387,0.05466417,
5616.459,0.05417057,
5614.530,0.05364682,
5612.601,0.05305329,
5610.672,0.05245243,
5608.744,0.05182953,
5606.815,0.05128045,
5604.886,0.05083348,
5602.957,0.05036777,
5601.029,0.04990445,
5599.100,0.04948162,
5597.171,0.04905659,
5595.242,0.04862807,
5593.314,0.04819102,
5591.385,0.04780343,
5589.456,0.04753096,
5587.528,0.0472868,
5585.599,0.0469461,
5583.670,0.04654468,
5581.741,0.0462711,
5579.813,0.04615774,
5577.884,0.04600803,
5575.955,0.04577286,
5574.026,0.04556933,
5572.098,0.04532903,
5570.169,0.04496507,
5568.240,0.0446501,
5566.312,0.04453167,
5564.383,0.04455934,
5562.454,0.04462664,
5560.525,0.04465258,
