,02-11-2021_11h23,
Wavenumbers [1/cm],Transmittance,
3301.984,4.01782,
3298.126,4.012886,
3294.269,4.005295,
3290.411,3.996849,
3286.554,3.988919,
3282.697,3.98156,
3278.839,3.97487,
3274.982,3.969845,
3271.124,3.966727,
3267.267,3.963887,
3263.409,3.959631,
3259.552,3.95386,
3255.694,3.947627,
3251.837,3.941455,
3247.979,3.934697,
3244.122,3.92725,
3240.265,3.919497,
3236.407,3.910928,
3232.550,3.901558,
3228.692,3.89198,
3224.835,3.8815,
3220.977,3.869014,
3217.120,3.854729,
3213.262,3.839386,
3209.405,3.823044,
3205.547,3.805053,
3201.690,3.784793,
3197.832,3.763158,
3193.975,3.741179,
3190.118,3.718073,
3186.260,3.69311,
3182.403,3.666487,
3178.545,3.638831,
3174.688,3.610794,
3170.830,3.581893,
3166.973,3.551154,
3163.115,3.518341,
3159.258,3.483533,
3155.400,3.447019,
3151.543,3.409922,
3147.686,3.373701,
3143.828,3.338592,
3139.971,3.303106,
3136.113,3.265465,
3132.256,3.225037,
3128.398,3.1818,
3124.541,3.135648,
3120.683,3.087071,
3116.826,3.036947,
3112.968,2.985359,
3109.111,2.931718,
3105.253,2.875767,
3101.396,2.817887,
3097.539,2.758541,
3093.681,2.697818,
3089.824,2.635685,
3085.966,2.573018,
3082.109,2.512765,
3078.251,2.458704,
3074.394,2.411844,
3070.536,2.369338,
3066.679,2.327502,
3062.821,2.283476,
3058.964,2.234755,
3055.107,2.179663,
3051.249,2.116879,
3047.392,2.044201,
3043.534,1.958599,
3039.677,1.856383,
3035.819,1.733304,
3031.962,1.584839,
3028.104,1.406174,
3024.247,1.194145,
3020.389,0.9534696,
3016.532,0.7041746,
3012.675,0.4826063,
3008.817,0.3287701,
3004.960,0.2684304,
3001.102,0.3062856,
2997.245,0.4272355,
2993.387,0.5977831,
2989.530,0.7739553,
2985.672,0.9169622,
2981.815,1.00404,
2977.957,1.029691,
2974.100,1.006191,
2970.242,0.9656031,
2966.385,0.9504272,
2962.528,0.9887816,
2958.670,1.07687,
2954.813,1.18732,
2950.955,1.289715,
2947.098,1.362599,
2943.240,1.394185,
2939.383,1.380252,
2935.525,1.325908,
2931.668,1.250489,
2927.810,1.18796,
2923.953,1.176586,
2920.096,1.239918,
2916.238,1.372373,
2912.381,1.545334,
2908.523,1.727924,
2904.666,1.900764,
2900.808,2.055937,
2896.951,2.191995,
