;Part of: cyclohexanone with sp;
Wavelength [nm];Transmittance %;
2119,385;0,254473;
2121,314;0,261438;
2123,242;0,269364;
2125,171;0,278533;
2127,099;0,289142;
2129,028;0,301202;
2130,956;0,314521;
2132,884;0,328812;
2134,813;0,343862;
2136,741;0,359597;
2138,670;0,376024;
2140,598;0,393152;
2142,527;0,41103;
2144,455;0,429911;
2146,384;0,450337;
2148,312;0,472958;
2150,241;0,498167;
2152,169;0,525874;
2154,098;0,555689;
2156,026;0,587434;
2157,955;0,621558;
2159,883;0,659134;
2161,811;0,701466;
2163,740;0,749706;
2165,668;0,804778;
2167,597;0,867505;
2169,525;0,938689;
2171,454;1,01911;
2173,382;1,10975;
2175,311;1,21248;
2177,239;1,33044;
2179,168;1,46714;
2181,096;1,62367;
2183,025;1,79554;
2184,953;1,97176;
2186,882;2,13837;
2188,810;2,28534;
2190,738;2,41177;
2192,667;2,52359;
2194,595;2,62245;
2196,524;2,69329;
2198,452;2,70362;
2200,381;2,61763;
2202,309;2,41564;
2204,238;2,1076;
2206,166;1,73446;
2208,095;1,35634;
2210,023;1,03108;
2211,952;0,792613;
2213,880;0,642512;
2215,809;0,559803;
2217,737;0,518468;
2219,665;0,499536;
2221,594;0,493855;
2223,522;0,498479;
2225,451;0,511727;
2227,379;0,530585;
2229,308;0,551019;
2231,236;0,569379;
2233,165;0,583132;
2235,093;0,590597;
2237,022;0,590548;
2238,950;0,582364;
2240,879;0,56657;
2242,807;0,545044;
2244,736;0,520495;
2246,664;0,495518;
2248,592;0,471874;
2250,521;0,450369;
2252,449;0,431178;
2254,378;0,414115;
2256,306;0,398835;
2258,235;0,384966;
2260,163;0,372241;
2262,092;0,360593;
2264,020;0,350116;
2265,949;0,340877;
2267,877;0,332758;
2269,806;0,325475;
2271,734;0,318753;
2273,663;0,312529;
2275,591;0,306937;
2277,519;0,302192;
2279,448;0,298374;
2281,376;0,295357;
2283,305;0,29289;
2285,233;0,290756;
2287,162;0,288884;
2289,090;0,287358;
2291,019;0,286331;
2292,947;0,285931;
2294,876;0,286184;
2296,804;0,287024;
2298,733;0,288354;
2300,661;0,290125;
2302,590;0,29237;
2304,518;0,295151;
2306,446;0,298467;
2308,375;0,302215;
2310,303;0,306252;
2312,232;0,310528;
2314,160;0,31518;
2316,089;0,320498;
2318,017;0,326761;
2319,946;0,334085;
2321,874;0,34238;
2323,803;0,351472;
2325,731;0,361283;
2327,660;0,371938;
2329,588;0,383735;
2331,517;0,396999;
2333,445;0,411952;
2335,373;0,428672;
2337,302;0,44716;
2339,230;0,467464;
2341,159;0,489768;
2343,087;0,514417;
2345,016;0,541873;
2346,944;0,57266;
2348,873;0,607337;
2350,801;0,646523;
2352,730;0,690959;
2354,658;0,741577;
2356,587;0,799534;
2358,515;0,866202;
2360,444;0,943142;
2362,372;1,03212;
2364,300;1,13519;
2366,229;1,25489;
2368,157;1,3944;
2370,086;1,55786;
2372,014;1,75045;
2373,943;1,97848;
2375,871;2,24929;
2377,800;2,57085;
2379,728;2,95094;
2381,657;3,39586;
2383,585;3,90849;
2385,514;4,48597;
2387,442;5,11715;
2389,371;5,78042;
2391,299;6,4427;
2393,227;7,06046;
2395,156;7,58355;
2397,084;7,96185;
2399,013;8,15392;
2400,941;8,13557;
2402,870;7,9058;
2404,798;7,48794;
2406,727;6,92536;
2408,655;6,27279;
2410,584;5,58604;
2412,512;4,91292;
2414,441;4,28775;
2416,369;3,73001;
2418,298;3,24639;
2420,226;2,83461;
2422,154;2,48737;
2424,083;2,19548;
2426,011;1,94978;
2427,940;1,74218;
2429,868;1,56594;
2431,797;1,41563;
2433,725;1,28694;
2435,654;1,17641;
2437,582;1,08113;
2439,511;0,998627;
2441,439;0,926765;
2443,368;0,863755;
2445,296;0,808171;
2447,225;0,75892;
2449,153;0,715168;
2451,081;0,676242;
2453,010;0,641588;
2454,938;0,610758;
2456,867;0,583423;
2458,795;0,559346;
2460,724;0,538289;
2462,652;0,519927;
2464,581;0,503824;
2466,509;0,489511;
2468,438;0,476611;
2470,366;0,464927;
2472,295;0,4544;
2474,223;0,445002;
2476,152;0,436627;
2478,080;0,42908;
2480,008;0,422162;
2481,937;0,415771;
2483,865;0,409922;
2485,794;0,404695;
2487,722;0,400146;
2489,651;0,396279;
2491,579;0,393084;
2493,508;0,3906;
2495,436;0,388928;
2497,365;0,388176;
2499,293;0,388379;
2501,222;0,389468;
2503,150;0,391311;
2505,079;0,393795;
2507,007;0,396884;
2508,935;0,400609;
2510,864;0,404993;
2512,792;0,409989;
2514,721;0,415459;
2516,649;0,42123;
2518,578;0,427184;
2520,506;0,433346;
