,d2o 061 By Administrator Date Tuesday. December 14 2021,
Time,16:57:50,
Wavenumbers [1/cm],Transmittance %,
6158.000,6.18271,
6157.000,6.23313,
6156.000,6.28141,
6155.000,6.32839,
6154.000,6.37628,
6153.000,6.42673,
6152.000,6.47962,
6151.000,6.53327,
6150.000,6.58641,
6149.000,6.64001,
6148.000,6.6957,
6147.000,6.75248,
6146.000,6.80723,
6145.000,6.85929,
6144.000,6.91207,
6143.000,6.96839,
6142.000,7.02685,
6141.000,7.08494,
6140.000,7.14334,
6139.000,7.204,
6138.000,7.26609,
6137.000,7.32726,
6136.000,7.38805,
6135.000,7.45157,
6134.000,7.5189,
6133.000,7.58815,
6132.000,7.65754,
6131.000,7.72648,
6130.000,7.79341,
6129.000,7.85573,
6128.000,7.91324,
6127.000,7.96924,
6126.000,8.02705,
6125.000,8.08715,
6124.000,8.14895,
6123.000,8.21355,
6122.000,8.28292,
6121.000,8.35672,
6120.000,8.43182,
6119.000,8.50531,
6118.000,8.57702,
6117.000,8.64813,
6116.000,8.71822,
6115.000,8.7857,
6114.000,8.85129,
6113.000,8.919,
6112.000,8.99195,
6111.000,9.06845,
6110.000,9.14456,
6109.000,9.21932,
6108.000,9.29482,
6107.000,9.37185,
6106.000,9.44865,
6105.000,9.52414,
6104.000,9.59944,
6103.000,9.67529,
6102.000,9.75067,
6101.000,9.82473,
6100.000,9.89772,
6099.000,9.96928,
6098.000,10.0386,
6097.000,10.1069,
6096.000,10.1771,
6095.000,10.2498,
6094.000,10.3224,
6093.000,10.3927,
6092.000,10.462,
6091.000,10.5319,
6090.000,10.6029,
6089.000,10.6745,
6088.000,10.7461,
6087.000,10.8165,
6086.000,10.884,
6085.000,10.9487,
6084.000,11.0117,
6083.000,11.0721,
6082.000,11.1288,
6081.000,11.1845,
6080.000,11.2442,
6079.000,11.3085,
6078.000,11.3721,
6077.000,11.4305,
6076.000,11.4839,
6075.000,11.5331,
6074.000,11.5767,
6073.000,11.6143,
6072.000,11.6494,
6071.000,11.6856,
6070.000,11.7231,
6069.000,11.76,
6068.000,11.7958,
6067.000,11.8302,
6066.000,11.8612,
6065.000,11.8882,
6064.000,11.913,
6063.000,11.9372,
6062.000,11.9597,
6061.000,11.9783,
6060.000,11.9916,
6059.000,11.9989,
6058.000,12.0004,
6057.000,11.9994,
6056.000,12,
6055.000,12.0035,
6054.000,12.0073,
6053.000,12.0094,
6052.000,12.0088,
6051.000,12.0038,
6050.000,11.9916,
6049.000,11.9731,
6048.000,11.9533,
6047.000,11.9352,
6046.000,11.9164,
6045.000,11.8934,
6044.000,11.8662,
6043.000,11.8362,
6042.000,11.8043,
6041.000,11.7717,
6040.000,11.7405,
6039.000,11.7111,
6038.000,11.6803,
6037.000,11.6447,
6036.000,11.6029,
6035.000,11.5552,
6034.000,11.5029,
6033.000,11.4498,
6032.000,11.3999,
6031.000,11.3536,
6030.000,11.309,
6029.000,11.2655,
6028.000,11.224,
6027.000,11.1827,
6026.000,11.1366,
6025.000,11.0835,
6024.000,11.026,
6023.000,10.9675,
6022.000,10.9095,
6021.000,10.8531,
6020.000,10.8001,
6019.000,10.7498,
6018.000,10.6986,
6017.000,10.6433,
6016.000,10.5838,
6015.000,10.5218,
6014.000,10.4593,
6013.000,10.3986,
6012.000,10.3413,
6011.000,10.2864,
6010.000,10.2316,
6009.000,10.1763,
6008.000,10.1206,
6007.000,10.0628,
6006.000,10.001,
6005.000,9.93714,
6004.000,9.87485,
6003.000,9.81422,
6002.000,9.7525,
6001.000,9.68998,
6000.000,9.6302,
5999.000,9.57395,
5998.000,9.51794,
5997.000,9.4604,
5996.000,9.40331,
5995.000,9.34776,
5994.000,9.29175,
5993.000,9.23442,
5992.000,9.17782,
5991.000,9.12263,
5990.000,9.06612,
5989.000,9.00665,
5988.000,8.9464,
5987.000,8.88759,
5986.000,8.82947,
5985.000,8.77097,
5984.000,8.71297,
5983.000,8.65602,
5982.000,8.59875,
5981.000,8.54093,
5980.000,8.48481,
5979.000,8.43176,
5978.000,8.37996,
5977.000,8.32718,
5976.000,8.27296,
5975.000,8.21671,
5974.000,8.15711,
5973.000,8.09521,
5972.000,8.03523,
5971.000,7.98003,
5970.000,7.9286,
5969.000,7.8792,
5968.000,7.83187,
5967.000,7.78587,
5966.000,7.73811,
5965.000,7.6865,
5964.000,7.63273,
5963.000,7.57942,
5962.000,7.52697,
5961.000,7.47508,
5960.000,7.42466,
5959.000,7.37598,
5958.000,7.32701,
5957.000,7.27614,
5956.000,7.22475,
5955.000,7.17503,
5954.000,7.12694,
5953.000,7.07897,
5952.000,7.03032,
5951.000,6.98062,
5950.000,6.9292,
5949.000,6.87618,
5948.000,6.8232,
5947.000,6.77181,
5946.000,6.72241,
5945.000,6.67539,
5944.000,6.63089,
5943.000,6.58698,
5942.000,6.54065,
5941.000,6.49165,
5940.000,6.44306,
5939.000,6.39657,
5938.000,6.35029,
5937.000,6.30255,
5936.000,6.25523,
5935.000,6.21081,
5934.000,6.16829,
5933.000,6.12465,
5932.000,6.07879,
5931.000,6.0319,
5930.000,5.98522,
5929.000,5.93937,
5928.000,5.89495,
5927.000,5.85175,
5926.000,5.80845,
5925.000,5.76416,
5924.000,5.71984,
5923.000,5.6769,
5922.000,5.63538,
5921.000,5.59447,
5920.000,5.55376,
5919.000,5.51336,
5918.000,5.47362,
5917.000,5.43516,
5916.000,5.39813,
5915.000,5.36113,
5914.000,5.32223,
5913.000,5.28114,
5912.000,5.23888,
5911.000,5.19576,
5910.000,5.15181,
5909.000,5.10928,
5908.000,5.07147,
5907.000,5.03818,
5906.000,5.00513,
5905.000,4.96879,
5904.000,4.92981,
5903.000,4.89044,
5902.000,4.85141,
5901.000,4.81309,
5900.000,4.77692,
5899.000,4.7436,
5898.000,4.71158,
5897.000,4.67894,
5896.000,4.64565,
5895.000,4.61238,
5894.000,4.57896,
5893.000,4.54499,
5892.000,4.51058,
5891.000,4.47538,
5890.000,4.43856,
5889.000,4.40092,
5888.000,4.36485,
5887.000,4.33126,
5886.000,4.2986,
5885.000,4.26615,
5884.000,4.23561,
5883.000,4.20757,
5882.000,4.1791,
5881.000,4.14723,
5880.000,4.1126,
5879.000,4.07775,
5878.000,4.0435,
5877.000,4.00978,
5876.000,3.97788,
5875.000,3.94901,
5874.000,3.9217,
5873.000,3.89343,
5872.000,3.86402,
5871.000,3.83511,
5870.000,3.8071,
5869.000,3.7789,
5868.000,3.75025,
5867.000,3.72188,
5866.000,3.69372,
5865.000,3.66477,
5864.000,3.63473,
5863.000,3.60443,
5862.000,3.57491,
5861.000,3.54742,
5860.000,3.52332,
5859.000,3.50243,
5858.000,3.48229,
5857.000,3.4603,
5856.000,3.43604,
5855.000,3.41004,
5854.000,3.3817,
5853.000,3.35023,
5852.000,3.31695,
5851.000,3.28436,
5850.000,3.25353,
5849.000,3.22426,
5848.000,3.19719,
5847.000,3.17377,
5846.000,3.15414,
5845.000,3.13657,
5844.000,3.11895,
5843.000,3.09986,
5842.000,3.07871,
5841.000,3.05603,
5840.000,3.03307,
5839.000,3.01009,
5838.000,2.98569,
5837.000,2.95917,
5836.000,2.93235,
5835.000,2.9074,
5834.000,2.88422,
5833.000,2.86167,
5832.000,2.84031,
5831.000,2.82119,
5830.000,2.80278,
5829.000,2.78243,
5828.000,2.76048,
5827.000,2.74008,
5826.000,2.72248,
5825.000,2.70532,
5824.000,2.68642,
5823.000,2.66679,
5822.000,2.64871,
5821.000,2.63289,
5820.000,2.61859,
5819.000,2.60471,
5818.000,2.5896,
5817.000,2.57139,
5816.000,2.54998,
5815.000,2.52769,
5814.000,2.50712,
5813.000,2.48914,
5812.000,2.47327,
5811.000,2.4586,
5810.000,2.44359,
5809.000,2.42649,
5808.000,2.40758,
5807.000,2.38969,
5806.000,2.37553,
5805.000,2.36501,
5804.000,2.35585,
5803.000,2.34611,
5802.000,2.33493,
5801.000,2.3218,
5800.000,2.30708,
5799.000,2.29274,
5798.000,2.2812,
5797.000,2.27294,
5796.000,2.26604,
5795.000,2.2583,
5794.000,2.24896,
5793.000,2.23823,
5792.000,2.22628,
5791.000,2.21323,
5790.000,2.20001,
5789.000,2.18829,
5788.000,2.17939,
5787.000,2.17326,
5786.000,2.1686,
5785.000,2.16379,
5784.000,2.15755,
5783.000,2.14911,
5782.000,2.13856,
5781.000,2.12734,
5780.000,2.11797,
5779.000,2.11226,
