,d2o 048 By Administrator Date Tuesday. December 14 2021,
Time,14:31:46,
Wavenumbers [1/cm],Transmittance %,
5892.000,5.34633,
5891.000,5.38756,
5890.000,5.4275,
5889.000,5.46618,
5888.000,5.50443,
5887.000,5.54275,
5886.000,5.58118,
5885.000,5.62016,
5884.000,5.66001,
5883.000,5.69998,
5882.000,5.73896,
5881.000,5.77719,
5880.000,5.81592,
5879.000,5.85559,
5878.000,5.89606,
5877.000,5.93825,
5876.000,5.98336,
5875.000,6.03021,
5874.000,6.07566,
5873.000,6.11828,
5872.000,6.15976,
5871.000,6.2024,
5870.000,6.24691,
5869.000,6.29302,
5868.000,6.34018,
5867.000,6.38675,
5866.000,6.43077,
5865.000,6.47249,
5864.000,6.51437,
5863.000,6.55823,
5862.000,6.60399,
5861.000,6.65165,
5860.000,6.70185,
5859.000,6.75353,
5858.000,6.80362,
5857.000,6.8505,
5856.000,6.89602,
5855.000,6.94279,
5854.000,6.99128,
5853.000,7.04092,
5852.000,7.09197,
5851.000,7.14423,
5850.000,7.19592,
5849.000,7.24561,
5848.000,7.29428,
5847.000,7.34371,
5846.000,7.39414,
5845.000,7.44515,
5844.000,7.49764,
5843.000,7.55296,
5842.000,7.61054,
5841.000,7.66807,
5840.000,7.72367,
5839.000,7.77691,
5838.000,7.8281,
5837.000,7.87776,
5836.000,7.92662,
5835.000,7.97555,
5834.000,8.02552,
5833.000,8.07745,
5832.000,8.13136,
5831.000,8.18558,
5830.000,8.23795,
5829.000,8.28844,
5828.000,8.33929,
5827.000,8.39219,
5826.000,8.44591,
5825.000,8.49747,
5824.000,8.54477,
5823.000,8.58808,
5822.000,8.62981,
5821.000,8.67332,
5820.000,8.72091,
5819.000,8.77253,
5818.000,8.82621,
5817.000,8.87922,
5816.000,8.92868,
5815.000,8.97265,
5814.000,9.01215,
5813.000,9.05128,
5812.000,9.09342,
5811.000,9.13799,
5810.000,9.18227,
5809.000,9.22515,
5808.000,9.26736,
5807.000,9.30897,
5806.000,9.34939,
5805.000,9.38904,
5804.000,9.42832,
5803.000,9.4656,
5802.000,9.49852,
5801.000,9.52731,
5800.000,9.55425,
5799.000,9.58029,
5798.000,9.60483,
5797.000,9.62836,
5796.000,9.65211,
5795.000,9.67517,
5794.000,9.69506,
5793.000,9.71127,
5792.000,9.72541,
5791.000,9.73782,
5790.000,9.74698,
5789.000,9.75276,
5788.000,9.75715,
5787.000,9.76114,
5786.000,9.76356,
5785.000,9.76367,
5784.000,9.76231,
5783.000,9.75986,
5782.000,9.75562,
5781.000,9.74995,
5780.000,9.74413,
5779.000,9.73755,
5778.000,9.72742,
5777.000,9.71225,
5776.000,9.69344,
5775.000,9.67286,
5774.000,9.65098,
5773.000,9.62791,
5772.000,9.60397,
5771.000,9.57856,
5770.000,9.55052,
5769.000,9.51994,
5768.000,9.48813,
5767.000,9.45556,
5766.000,9.4218,
5765.000,9.38697,
5764.000,9.35104,
5763.000,9.31235,
5762.000,9.26978,
5761.000,9.22605,
5760.000,9.18577,
5759.000,9.14981,
5758.000,9.1145,
5757.000,9.07643,
